Area,Area Code (M49),ISO3
Afghanistan,4,AFG
Albania,8,ALB
Algeria,12,DZA
Angola,24,AGO
Antigua and Barbuda,28,ATG
Argentina,32,ARG
Armenia,51,ARM
Australia,36,AUS
Austria,40,AUT
Azerbaijan,31,AZE
Bahamas,44,BHS
Bahrain,48,BHR
Bangladesh,50,BGD
Barbados,52,BRB
Belarus,112,BLR
Belgium,56,BEL
Belize,84,BLZ
Benin,204,BEN
Bhutan,64,BTN
Bolivia (Plurinational State of),68,BOL
Bosnia and Herzegovina,70,BIH
Botswana,72,BWA
Brazil,76,BRA
Brunei Darussalam,96,BRN
Bulgaria,100,BGR
Burkina Faso,854,BFA
Burundi,108,BDI
Cabo Verde,132,CPV
Cambodia,116,KHM
Cameroon,120,CMR
Canada,124,CAN
Central African Republic,140,CAF
Chad,148,TCD
Chile,152,CHL
China,159,#N/A
"China, Hong Kong SAR",344,HKG
"China, Macao SAR",446,MAC
"China, mainland",156,CHN
"China, Taiwan Province of",158,#N/A
Colombia,170,COL
Comoros,174,COM
Congo,178,COG
Cook Islands,184,COK
Costa Rica,188,CRI
Côte d'Ivoire,384,CIV
Croatia,191,HRV
Cuba,192,CUB
Cyprus,196,CYP
Czechia,203,CZE
Democratic People's Republic of Korea,408,PRK
Democratic Republic of the Congo,180,COD
Denmark,208,DNK
Djibouti,262,DJI
Dominica,212,DMA
Dominican Republic,214,DOM
Ecuador,218,ECU
Egypt,818,EGY
El Salvador,222,SLV
Equatorial Guinea,226,GNQ
Eritrea,232,ERI
Estonia,233,EST
Eswatini,748,SWZ
Ethiopia,231,ETH
Faroe Islands,234,FRO
Fiji,242,FJI
Finland,246,FIN
France,250,FRA
French Polynesia,258,PYF
Gabon,266,GAB
Gambia,270,GMB
Georgia,268,GEO
Germany,276,DEU
Ghana,288,GHA
Greece,300,GRC
Grenada,308,GRD
Guatemala,320,GTM
Guinea,324,GIN
Guinea-Bissau,624,GNB
Guyana,328,GUY
Haiti,332,HTI
Honduras,340,HND
Hungary,348,HUN
Iceland,352,ISL
India,356,IND
Indonesia,360,IDN
Iran (Islamic Republic of),364,IRN
Iraq,368,IRQ
Ireland,372,IRL
Israel,376,ISR
Italy,380,ITA
Jamaica,388,JAM
Japan,392,JPN
Jordan,400,JOR
Kazakhstan,398,KAZ
Kenya,404,KEN
Kiribati,296,KIR
Kuwait,414,KWT
Kyrgyzstan,417,KGZ
Lao People's Democratic Republic,418,LAO
Latvia,428,LVA
Lebanon,422,LBN
Lesotho,426,LSO
Liberia,430,LBR
Libya,434,LBY
Lithuania,440,LTU
Luxembourg,442,LUX
Madagascar,450,MDG
Malawi,454,MWI
Malaysia,458,MYS
Maldives,462,MDV
Mali,466,MLI
Malta,470,MLT
Marshall Islands,584,MHL
Mauritania,478,MRT
Mauritius,480,MUS
Mexico,484,MEX
Micronesia (Federated States of),583,FSM
Mongolia,496,MNG
Montenegro,499,MNE
Morocco,504,MAR
Mozambique,508,MOZ
Myanmar,104,MMR
Namibia,516,NAM
Nauru,520,NRU
Nepal,524,NPL
Netherlands (Kingdom of the),528,NLD
New Caledonia,540,NCL
New Zealand,554,NZL
Nicaragua,558,NIC
Niger,562,NER
Nigeria,566,NGA
Niue,570,NIU
North Macedonia,807,MKD
Norway,578,NOR
Oman,512,OMN
Pakistan,586,PAK
Palestine,275,PSE
Panama,591,PAN
Papua New Guinea,598,PNG
Paraguay,600,PRY
Peru,604,PER
Philippines,608,PHL
Poland,616,POL
Portugal,620,PRT
Puerto Rico,630,PRI
Qatar,634,QAT
Republic of Korea,410,KOR
Republic of Moldova,498,MDA
Romania,642,ROU
Russian Federation,643,RUS
Rwanda,646,RWA
Saint Kitts and Nevis,659,KNA
Saint Lucia,662,LCA
Saint Vincent and the Grenadines,670,VCT
Samoa,882,WSM
Sao Tome and Principe,678,STP
Saudi Arabia,682,SAU
Senegal,686,SEN
Serbia,688,SRB
Seychelles,690,SYC
Sierra Leone,694,SLE
Singapore,702,SGP
Slovakia,703,SVK
Slovenia,705,SVN
Solomon Islands,90,SLB
Somalia,706,SOM
South Africa,710,ZAF
South Sudan,728,SSD
Spain,724,ESP
Sri Lanka,144,LKA
Sudan,729,SDN
Suriname,740,SUR
Sweden,752,SWE
Switzerland,756,CHE
Syrian Arab Republic,760,SYR
Tajikistan,762,TJK
Thailand,764,THA
Timor-Leste,626,TLS
Togo,768,TGO
Tokelau,772,TKL
Tonga,776,TON
Trinidad and Tobago,780,TTO
Tunisia,788,TUN
Türkiye,792,TUR
Turkmenistan,795,TKM
Tuvalu,798,TUV
Uganda,800,UGA
Ukraine,804,UKR
United Arab Emirates,784,ARE
United Kingdom of Great Britain and Northern Ireland,826,GBR
United Republic of Tanzania,834,TZA
United States of America,840,USA
Uruguay,858,URY
Uzbekistan,860,UZB
Vanuatu,548,VUT
Viet Nam,704,VNM
Yemen,887,YEM
Zambia,894,ZMB
Zimbabwe,716,ZWE