 Indicator Code, Indicator
4040,Additional nutrients for aquatic foods
4009,Calcium supply
4006,Carbohydrate (available) supply
4016,Copper supply
4007,Dietary fibre supply
4037,Docosahexaenoic acidÂ (DHA) supply
4038,Eicosapentaenoic acid (EPA) supply
4003,Energy supply
4005,Fat supply
4010,Iron supply
4011,Magnesium supply
4012,Phosphorus supply
4013,Potassium supply
4004,Protein supply
4022,Riboflavin supply
4032,Selenium supply
4021,Thiamin supply
4035,Total monounsaturated fatty acids supply
4036,Total polyunsaturated fatty acids supply
4034,Total saturated fatty acids supply
4018,Vitamin A supply (retinol activity equivalents)
4017,Vitamin A supply (retinol equivalents)
4033,Vitamin B12 supply
4024,Vitamin B6 supply
4029,Vitamin C supply
4015,Zinc supply
